Molecule,Cluster,data,Cluster_center,Distance_to_center
2215,6,[ 0.8218910615639544 -0.190490688762272   0.1672095117981357  0.4234224387056634  0.1605872635559374 -0.0489973398884068 -0.1548240324699697  0.000916311740372   0.080853132062518 ],[ 0.6476565875622468  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4726818554198825
2216,1,[ 0.6011425831334828 -0.3805340747335826 -0.2789967646457066  0.2738131740149686  0.0669220583113407  0.105143264706375  -0.2614853608389726 -0.1706137276274209 -0.0976294356593066],[ 0.4678263661925846 -0.2295474939608273 -0.2617723412107961  0.1050343327743369  0.0161616480675178  0.0344890322665333 -0.0905004460631204 -0.0561098648247797 -0.0169458643663869],0.3546527787147189
2217,1,[ 0.6857702031866506 -0.5590003947444164 -0.1363165567992332  0.4286483120278262  0.113324596902717   0.0362844545224966 -0.2845012317933747 -0.2119678512953097 -0.1865271726832929],[ 0.4678263661925846 -0.2295474939608273 -0.2617723412107961  0.1050343327743369  0.0161616480675178  0.0344890322665333 -0.0905004460631204 -0.0561098648247797 -0.0169458643663869],0.6137048072465475
2218,1,[ 0.572482733821333  -0.2911720340820853 -0.3229458772454057  0.214885489940961   0.0544295509929422  0.1306738096889708 -0.2612027275564263 -0.1636405759669152 -0.058401213590907 ],[ 0.4678263661925846 -0.2295474939608273 -0.2617723412107961  0.1050343327743369  0.0161616480675178  0.0344890322665333 -0.0905004460631204 -0.0561098648247797 -0.0169458643663869],0.28930369855813803
2219,1,[ 0.6297946397135616 -0.3922869259290018 -0.2507618543304621  0.2986362488479019  0.074392856351071   0.2028551691368332 -0.2643749026014573 -0.1850751361892404 -0.1171468481951238],[ 0.4678263661925846 -0.2295474939608273 -0.2617723412107961  0.1050343327743369  0.0161616480675178  0.0344890322665333 -0.0905004460631204 -0.0561098648247797 -0.0169458643663869],0.4230406738731357
2220,9,[-0.2980760180683323  0.016594582674073   0.1424872400856393 -0.5791661420405543  0.2892847414106275  0.0157413702743728 -0.0944584022996664  0.1311240371585686 -0.0488800282792437],[-0.4698656252987644 -0.0107472774944682  0.0566194515372587 -0.3509161971658883 -0.0522437857389853 -0.0382619177426513 -0.1088358436974318  0.0407762039243031 -0.0230874618265789],0.4672508418017683
2221,7,[ 0.3051883084712985  0.3517230656737223 -0.4085883840251156 -0.0770643302095955 -0.2337136245817315  0.055446117571429   0.0468871835998163  0.1200570703073802  0.0166065548109562],[ 0.2554365028779266  0.1321868948974623 -0.4470945829297879 -0.2684044825366035 -0.0367660445505471 -0.0123786254412718  0.0465250080439559  0.0585309585419557 -0.0136814019089044],0.3699414178660729
2222,4,[-0.1418226433620635 -0.8607068268558383  0.3001369232105027 -0.1801767873390566  0.3341675340490634  0.1943143098146724 -0.034415517601938   0.1551968977582005  0.0837334685786052],[-0.2786373820387271 -0.5298949276051771  0.2399578029211727  0.0008392265522396 -0.0379644834335693  0.1557081415706476 -0.0499799862541629  0.0909830480103215  0.0659874408609354],0.5560542928120338
2223,7,[ 0.2508914025608138  0.4640073406686649  0.0485027315843672 -0.1537600954182605 -0.0894797229426681 -0.0746988153501425  0.15302410632598    0.091939587358433   0.0410448686581446],[ 0.2554365028779266  0.1321868948974623 -0.4470945829297879 -0.2684044825366035 -0.0367660445505471 -0.0123786254412718  0.0465250080439559  0.0585309585419557 -0.0136814019089044],0.6253008850820859
2224,0,[ 0.3124545921093965 -0.070859505277875  -0.0172610853588419 -0.0144454141042023 -0.0634613255781305 -0.0074957708242873  0.1964571561992167  0.1325930279742683  0.0018885926717471],[ 0.2375768505373571 -0.1545492062714881  0.063371252230152  -0.2856063441868819  0.2272977626342499 -0.0150944172334486  0.1271644770746047 -0.0965084445384889  0.0142098375542327],0.48443763899214043
2225,9,[-0.2585031430061117 -0.1041885717428113  0.2297268643445773 -0.4874680347379357  0.2919489342061483  0.2649011637963574 -0.0901788880876226  0.0990723771503406  0.0539474609335928],[-0.4698656252987644 -0.0107472774944682  0.0566194515372587 -0.3509161971658883 -0.0522437857389853 -0.0382619177426513 -0.1088358436974318  0.0407762039243031 -0.0230874618265789],0.5675168215184573
2226,9,[-0.5829227565137043 -0.1153327391656333  0.2701719725323502 -0.5919407452748329  0.1671657886995404  0.1485575720871446 -0.0105635612447288 -0.0306170585660391  0.0466022967790892],[-0.4698656252987644 -0.0107472774944682  0.0566194515372587 -0.3509161971658883 -0.0522437857389853 -0.0382619177426513 -0.1088358436974318  0.0407762039243031 -0.0230874618265789],0.47965688856051886
2227,0,[ 0.1981367048173052 -0.0982004756739031 -0.0461366165353692 -0.3486781484753839  0.2740912369995083 -0.140291178907128  -0.0111168785332505 -0.2128983347845138  0.0476231807775055],[ 0.2375768505373571 -0.1545492062714881  0.063371252230152  -0.2856063441868819  0.2272977626342499 -0.0150944172334486  0.1271644770746047 -0.0965084445384889  0.0142098375542327],0.2689784007954618
2228,4,[ 0.3167939516305469 -0.8023604522161715  0.3562161171974491  0.1887636374511275  0.1523971524257987  0.09869006760459    0.1520739973039711 -0.1552844515748625  0.066746957871561 ],[-0.2786373820387271 -0.5298949276051771  0.2399578029211727  0.0008392265522396 -0.0379644834335693  0.1557081415706476 -0.0499799862541629  0.0909830480103215  0.0659874408609354],0.7864923386291581
2229,0,[ 0.2081583886153164 -0.4512411347200772  0.1186875481703913 -0.0794523399484778  0.0937093594723866  0.3153059859888603  0.156590849922672  -0.1450697097738345  0.086036695317408 ],[ 0.2375768505373571 -0.1545492062714881  0.063371252230152  -0.2856063441868819  0.2272977626342499 -0.0150944172334486  0.1271644770746047 -0.0965084445384889  0.0142098375542327],0.5194654999840322
